NLU,Description,Article,Unit
1,Red Grapes,341876,LB
2,Avocados,356486,EA
3,Cabbage,356512,LB
4,Bananas,262747,LB
5,Cantaloupe,356522,EA
6,Cucumbers,356549,EA
7,Bananas Organic,262770,LB
8,Green Grapes,356384,LB
9,Mangoes,356419,EA
10,Roma Tomatoes,356615,LB
11,Sweet Potatoes,356662,LB
12,Iceberg Lettuce,356396,EA
13,Seeded Watermelon,356627,EA
14,Cauliflower,356526,EA
15,Seedless Watermelon,356629,EA
16,Red Onions,356610,LB
17,Pomegranates,356596,EA
18,Peaches,356583,LB
19,Personal Seedless Watermelon,356598,EA
20,Poblano Peppers,356595,LB
21,Tomatillos,356672,LB
22,Papayas,356576,LB
23,Jalapeno Peppers,356399,LB
25,Eggplant,356555,LB
26,Baking Potatoes,356492,LB
27,Evercrisp Apples Tote,356559,LB
28,Pazazz Apples Tote,356581,LB
29,WildTwist Apples Tote,356684,LB
30,Honey Mangoes,356391,EA
31,White Onions,356680,LB
32,Ruby Frost Apples Tote,356618,LB
33,Dragon Fruit,356552,EA
34,Red Cherries,356606,LB
35,Rainier Cherries,356603,LB
36,Pumpkins,356599,EA
37,Cotton Candy Grapes,356545,LB
38,Acorn Squash,356463,LB
39,Butternut Squash,356510,LB
40,Spaghetti Squash,356642,LB
42,Plantains,262730,EA
43,Pineapples,282119,EA
44,Seedless Cucumbers,356628,EA
45,Avocados,356485,EA
46,Russet Potatoes 10lb,356619,EA
47,Grapefruit,356379,EA
48,Chayote Squash,356528,EA
49,Calabaza Squash,356516,LB
51,Limes,356413,EA
52,Peppers Anaheim,356586,LB
53,Athena Cantaloupe,356478,EA
54,Asparagus,356476,LB
55,Envy Apples Tote,537180,LB
59,Artisan Lettuce,356473,EA
60,Baby Peeled Carrots,356488,EA
61,Bagged Mini Avocados,356490,EA
62,Beefsteak Tomatoes,356496,EA
63,Boston Hydroponic Lettuce,356507,EA
64,Celery,356527,EA
65,Cilantro,356537,EA
66,Cotton Candy Grapes 1lb,356543,EA
67,Grape Tomatoes,356377,EA
68,Green Leaf Hydroponic Lettuce,473707,EA
69,Green Leaf Lettuce,356385,EA
70,Large Baking Potatoes 5lb,356408,EA
71,Lemons 2lb,356410,EA
72,Multi-Colored Peppers,356427,EA
73,Ambrosia Apples Tote,356466,LB
74,Cosmic Crisp Apples Tote,356542,LB
75,Honeycrisp Apples Tote,356394,LB
76,Sweetango Apples Tote,356665,LB
77,Snapdragon Apples Tote,356637,LB
78,Autumn Glory Apples Tote,356481,LB
79,Jazz Apples Tote,356401,LB
80,Envy Apples,356558,LB
82,Gala Apples,356369,LB
84,Honeycrisp Apples,356393,LB
85,Blanca Malanga,356503,LB
86,Honeydew,356395,EA
87,Jicama,356402,LB
88,Large Russet Potato,457522,LB
89,Name,356429,LB
90,Yuca,356690,LB
91,Scoop Cat Litter w Baking Soda,367175,EA
92,Salt Pellets,399026,EA
93,Complete Nutrition Dry Dog Food,365210,EA
94,Complete Nutrition Dry Cat Food,365197,EA
95,Flavored Water 24pk,382213,EA
96,Nectarines,557838,LB
97,Purified Water 10oz 24pk,382211,EA
98,Natural Spring Water,382135,EA
99,Purified Drinking Water,382630,EA
100,Plums Loose,569581,LB
101,US Bottle Deposit 2c (returns),80000623,EA
102,US Bottle Deposit 5c (returns),80000625,EA
103,US Bottle Deposit 10c (returns),80000627,EA
104,US Bottle Deposit 12c (returns),80000629,EA
105,US Bottle Deposit 15c (returns),80000631,EA
107,Broccoli Organic,356446,EA
108,Celery Hearts Organic,356448,EA
109,Mini Cucumbers Organic,356459,EA
110,Parsley,356578,EA
111,Red Onions 2lb,356609,EA
112,Red Potatoes 5lb,356612,EA
113,Sweet Onions 2lb,356659,EA
114,Sweet Potatoes 3lb,356661,EA
115,White Onions 2lb,356679,EA
116,Yellow Onions 3lb,341878,EA
